session_id,user_id,session_start,session_date,channel,campaign,device,country,browser,is_new_user,page_views,duration_seconds,bounced,converted,session_cost_usd
S0000001,U010477,2025-01-01 07:47:57,2025-01-01,Social,fb_prospecting,mobile,France,Chrome,True,6,55,False,False,1.03
S0000002,U000521,2025-01-01 14:41:44,2025-01-01,Organic Search,,mobile,France,Chrome,True,1,127,True,False,0.0
S0000003,U003612,2025-01-01 07:27:21,2025-01-01,Organic Search,,desktop,Germany,Chrome,True,5,117,False,False,0.0
S0000004,U003528,2025-01-01 11:38:16,2025-01-01,Direct,,mobile,France,Firefox,False,5,221,False,False,0.0
S0000005,U011956,2025-01-01 19:40:39,2025-01-01,Organic Search,,tablet,France,Chrome,True,3,46,False,False,0.0
S0000006,U005926,2025-01-01 20:05:54,2025-01-01,Social,fb_retargeting,mobile,France,Chrome,False,2,96,False,False,0.35
S0000007,U006228,2025-01-01 15:17:44,2025-01-01,Paid Search,brand_search,mobile,France,Chrome,True,1,92,True,False,1.79
S0000008,U009981,2025-01-01 09:59:40,2025-01-01,Direct,,mobile,USA,Chrome,False,4,40,False,False,0.0
S0000009,U003599,2025-01-01 11:20:25,2025-01-01,Email,abandoned_cart,desktop,France,Chrome,False,5,292,False,False,0.0
S0000010,U014961,2025-01-01 14:58:41,2025-01-01,Email,win_back,mobile,UK,Chrome,False,1,172,True,False,0.0
S0000011,U002288,2025-01-01 10:25:23,2025-01-01,Paid Search,shoes_generic,mobile,UK,Edge,True,1,73,True,False,1.74
S0000012,U008349,2025-01-01 18:43:27,2025-01-01,Social,fb_prospecting,desktop,France,Chrome,True,1,126,True,False,0.72
S0000013,U006253,2025-01-01 09:43:46,2025-01-01,Direct,,mobile,USA,Edge,False,5,47,False,False,0.0
S0000014,U014497,2025-01-01 21:29:00,2025-01-01,Organic Search,,desktop,France,Chrome,True,6,141,False,False,0.0
S0000015,U014350,2025-01-01 02:40:19,2025-01-01,Display,programmatic,desktop,USA,Chrome,False,6,140,False,False,0.35
S0000016,U009978,2025-01-01 10:58:00,2025-01-01,Direct,,mobile,Belgium,Edge,True,1,119,True,False,0.0
S0000017,U008006,2025-01-01 11:03:15,2025-01-01,Referral,,desktop,Spain,Chrome,True,1,169,True,False,0.0
S0000018,U001291,2025-01-01 14:08:42,2025-01-01,Direct,,mobile,Germany,Safari,True,1,136,True,False,0.0
S0000019,U009008,2025-01-01 23:48:46,2025-01-01,Direct,,mobile,Belgium,Edge,True,1,262,True,False,0.0
S0000020,U011681,2025-01-01 16:07:15,2025-01-01,Display,youtube_brand,desktop,USA,Chrome,True,3,97,False,False,0.15
S0000021,U000345,2025-01-01 18:14:04,2025-01-01,Organic Search,,mobile,France,Safari,False,4,123,False,False,0.0
S0000022,U014085,2025-01-01 15:46:59,2025-01-01,Direct,,mobile,USA,Chrome,True,4,98,False,False,0.0
S0000023,U009441,2025-01-01 07:27:22,2025-01-01,Social,fb_prospecting,desktop,France,Chrome,True,2,175,False,False,0.69
S0000024,U014154,2025-01-01 13:21:51,2025-01-01,Social,ig_lookalike,tablet,France,Chrome,False,1,61,True,False,1.03
S0000025,U003140,2025-01-01 11:59:04,2025-01-01,Direct,,mobile,France,Chrome,True,1,135,True,False,0.0
S0000026,U014113,2025-01-01 17:05:59,2025-01-01,Organic Search,,desktop,USA,Chrome,False,1,43,True,False,0.0
S0000027,U003873,2025-01-01 13:24:00,2025-01-01,Direct,,mobile,USA,Chrome,True,3,149,False,False,0.0
S0000028,U004346,2025-01-01 16:50:35,2025-01-01,Social,fb_prospecting,mobile,UK,Safari,False,9,93,False,False,0.67
S0000029,U002537,2025-01-01 06:20:03,2025-01-01,Organic Search,,mobile,Germany,Chrome,True,1,34,True,False,0.0
S0000030,U007812,2025-01-01 08:11:04,2025-01-01,Email,abandoned_cart,mobile,Belgium,Chrome,True,1,371,True,False,0.0
S0000031,U006616,2025-01-01 16:26:42,2025-01-01,Referral,,mobile,UK,Safari,True,2,109,False,False,0.0
S0000032,U008566,2025-01-01 12:08:42,2025-01-01,Organic Search,,desktop,France,Chrome,True,1,321,True,False,0.0
S0000033,U007492,2025-01-01 17:06:04,2025-01-01,Social,tiktok_brand,mobile,USA,Samsung Internet,True,1,62,True,False,0.72
S0000034,U002171,2025-01-01 12:53:34,2025-01-01,Referral,,desktop,France,Chrome,False,1,366,True,False,0.0
S0000035,U010022,2025-01-01 11:59:42,2025-01-01,Email,abandoned_cart,mobile,UK,Safari,False,3,88,False,False,0.0
S0000036,U004334,2025-01-01 15:45:21,2025-01-01,Organic Search,,mobile,France,Safari,True,1,89,True,False,0.0
S0000037,U010392,2025-01-01 15:40:27,2025-01-01,Direct,,mobile,Italy,Chrome,False,1,147,True,False,0.0
S0000038,U000723,2025-01-01 14:35:45,2025-01-01,Social,fb_retargeting,desktop,France,Safari,True,7,50,False,False,0.62
S0000039,U001833,2025-01-01 15:37:35,2025-01-01,Referral,,desktop,USA,Firefox,True,1,166,True,False,0.0
S0000040,U002089,2025-01-01 21:22:13,2025-01-01,Direct,,tablet,Canada,Chrome,True,9,158,False,False,0.0
S0000041,U010928,2025-01-01 06:09:59,2025-01-01,Social,ig_lookalike,desktop,USA,Safari,True,1,57,True,False,1.05
S0000042,U013106,2025-01-01 03:59:26,2025-01-01,Referral,,mobile,Germany,Chrome,False,4,95,False,False,0.0
S0000043,U014157,2025-01-01 07:02:54,2025-01-01,Organic Search,,mobile,Germany,Chrome,False,2,164,False,False,0.0
S0000044,U003270,2025-01-01 18:01:42,2025-01-01,Direct,,mobile,Germany,Chrome,False,1,159,True,False,0.0
S0000045,U005379,2025-01-01 17:43:53,2025-01-01,Organic Search,,desktop,France,Chrome,True,4,91,False,False,0.0
S0000046,U000453,2025-01-01 17:06:38,2025-01-01,Display,programmatic,mobile,Belgium,Chrome,True,1,87,True,False,0.35
S0000047,U012885,2025-01-01 12:16:02,2025-01-01,Paid Search,brand_search,mobile,France,Safari,True,3,52,False,False,1.49
S0000048,U008519,2025-01-01 18:23:27,2025-01-01,Direct,,desktop,Germany,Safari,False,1,182,True,False,0.0
S0000049,U010883,2025-01-01 11:32:19,2025-01-01,Paid Search,running_keywords,desktop,France,Edge,False,1,124,True,False,1.63
S0000050,U006593,2025-01-01 15:47:57,2025-01-01,Paid Search,running_keywords,mobile,UK,Chrome,False,1,69,True,False,1.12
S0000051,U006654,2025-01-01 15:41:20,2025-01-01,Organic Search,,mobile,USA,Safari,True,3,134,False,False,0.0
S0000052,U007245,2025-01-01 13:42:05,2025-01-01,Direct,,desktop,Belgium,Safari,False,1,235,True,False,0.0
S0000053,U010877,2025-01-01 12:14:51,2025-01-01,Direct,,desktop,Germany,Safari,False,8,73,False,False,0.0
S0000054,U000401,2025-01-01 17:56:40,2025-01-01,Display,programmatic,mobile,Germany,Chrome,True,2,57,False,False,0.08
S0000055,U011410,2025-01-01 16:55:49,2025-01-01,Direct,,mobile,UK,Edge,True,1,190,True,False,0.0
S0000056,U012754,2025-01-01 07:15:58,2025-01-01,Organic Search,,tablet,USA,Chrome,True,10,190,False,False,0.0
S0000057,U007479,2025-01-01 11:48:57,2025-01-01,Direct,,mobile,USA,Chrome,True,6,72,False,False,0.0
S0000058,U013354,2025-01-01 17:47:55,2025-01-01,Direct,,desktop,USA,Edge,False,3,370,False,False,0.0
S0000059,U004247,2025-01-01 20:15:17,2025-01-01,Email,win_back,mobile,Germany,Chrome,False,1,99,True,False,0.0
S0000060,U003842,2025-01-01 06:44:09,2025-01-01,Organic Search,,mobile,France,Chrome,True,1,78,True,False,0.0
S0000061,U001053,2025-01-01 15:24:57,2025-01-01,Direct,,mobile,France,Firefox,True,5,181,False,False,0.0
S0000062,U011396,2025-01-01 10:19:48,2025-01-01,Referral,,mobile,USA,Edge,True,5,85,False,False,0.0
S0000063,U014609,2025-01-01 21:14:31,2025-01-01,Direct,,desktop,USA,Safari,False,1,158,True,False,0.0
S0000064,U007141,2025-01-01 06:53:29,2025-01-01,Direct,,desktop,Germany,Safari,True,3,295,False,False,0.0
S0000065,U010196,2025-01-01 13:27:08,2025-01-01,Referral,,mobile,UK,Chrome,True,2,51,False,False,0.0
S0000066,U002978,2025-01-01 14:24:17,2025-01-01,Direct,,mobile,France,Safari,True,9,413,False,False,0.0
S0000067,U013631,2025-01-01 10:22:14,2025-01-01,Email,weekly_newsletter,mobile,Germany,Chrome,True,12,116,False,False,0.0
S0000068,U012358,2025-01-01 10:30:42,2025-01-01,Organic Search,,desktop,UK,Chrome,True,1,205,True,False,0.0
S0000069,U003572,2025-01-01 11:45:07,2025-01-01,Organic Search,,mobile,UK,Samsung Internet,True,2,108,False,False,0.0
S0000070,U002684,2025-01-01 08:24:25,2025-01-01,Organic Search,,mobile,France,Safari,False,6,147,False,False,0.0
S0000071,U003250,2025-01-01 20:54:43,2025-01-01,Social,fb_retargeting,desktop,France,Firefox,True,5,287,False,False,0.28
S0000072,U013046,2025-01-01 11:32:41,2025-01-01,Social,fb_prospecting,mobile,USA,Chrome,False,4,226,False,False,1.05
S0000073,U013474,2025-01-01 12:09:27,2025-01-01,Direct,,mobile,Italy,Chrome,True,2,116,False,False,0.0
S0000074,U008549,2025-01-01 18:27:52,2025-01-01,Organic Search,,desktop,USA,Chrome,False,20,88,False,False,0.0
S0000075,U004398,2025-01-01 14:48:29,2025-01-01,Organic Search,,tablet,France,Chrome,True,3,68,False,False,0.0
S0000076,U010948,2025-01-01 21:51:16,2025-01-01,Organic Search,,desktop,France,Chrome,True,2,12,False,False,0.0
S0000077,U014424,2025-01-01 15:15:46,2025-01-01,Referral,,mobile,USA,Chrome,False,2,32,False,False,0.0
S0000078,U009097,2025-01-01 13:05:18,2025-01-01,Social,ig_lookalike,desktop,USA,Firefox,False,3,69,False,False,1.06
S0000079,U005017,2025-01-01 14:35:21,2025-01-01,Direct,,mobile,France,Samsung Internet,False,3,103,False,False,0.0
S0000080,U007435,2025-01-01 04:34:48,2025-01-01,Organic Search,,mobile,France,Chrome,True,3,173,False,False,0.0
S0000081,U003139,2025-01-01 16:18:06,2025-01-01,Direct,,desktop,Canada,Chrome,True,1,309,True,False,0.0
S0000082,U004854,2025-01-01 12:03:35,2025-01-01,Organic Search,,mobile,USA,Chrome,True,5,8,False,False,0.0
S0000083,U002069,2025-01-01 13:30:28,2025-01-01,Social,fb_retargeting,mobile,France,Chrome,False,3,268,False,False,1.15
S0000084,U004137,2025-01-01 08:40:43,2025-01-01,Direct,,desktop,USA,Chrome,False,10,39,False,True,0.0
S0000085,U002445,2025-01-01 10:26:38,2025-01-01,Referral,,mobile,France,Safari,False,1,78,True,False,0.0
S0000086,U010133,2025-01-01 15:27:19,2025-01-01,Direct,,mobile,USA,Firefox,True,1,170,True,False,0.0
S0000087,U000987,2025-01-01 08:42:05,2025-01-01,Social,ig_lookalike,tablet,France,Chrome,False,1,26,True,False,1.1
S0000088,U009044,2025-01-01 12:14:18,2025-01-01,Organic Search,,mobile,UK,Chrome,True,2,120,False,False,0.0
S0000089,U011518,2025-01-01 09:37:42,2025-01-01,Organic Search,,mobile,France,Firefox,False,1,45,True,False,0.0
S0000090,U003242,2025-01-01 07:04:03,2025-01-01,Paid Search,running_keywords,desktop,Italy,Firefox,True,1,40,True,False,0.87
